Typeidentifikator;Sagsnummer;Sagsopgavenummer;Type;Nummer;Beskrivelse;Sagsopgavetype;Dimensionen Aktivitet;Antal;Kostpris;Kostbeloeb
30;1215;101;Budget;10000;Lønkategori 1;Konto;;1;229.175;229.175
30;1215;102;Budget;10000;Lønkategori 2;Konto;;1;799.092;799.092
30;1215;103;Budget;10000;Lønkategori 3;Konto;;1;154.048,50;154.048,50
30;1215;104;Budget;10000;Lønkategori 4;Konto;;1;102.960;102.960
30;1215;210;Budget;10000;Ekstern konsulent, 900 kr/time;Konto;;1;198.000;198.000
30;1215;210;Kontrakt;20000;Hartmut Heilmann,8t á 120 euro kons.ydelse 30/4;Konto;;1;7.173,89;7.173,89
30;1215;211;Budget;10000;Værtsbedrift;Konto;;1;65.250;65.250
30;1215;310;Budget;10000;Kursusmat, måling af ph/CO2, mat. til værtsbedrift;Konto;;1;54.000;54.000
30;1215;310;Kontrakt;20000;Friedrich Wenz, Jahresausbildung 2015 Bondekurs im;Konto;;1;14.960,40;14.960,40
30;1215;310;Kontrakt;30000;ProInstruments, CO2-måler;Konto;;1;3.738;3.738
30;1215;310;Kontrakt;40000;Pro Instruments :Bærbar indendørs luftkvalitets CO;Konto;;1;3.738;3.738
30;1215;310;Kontrakt;50000;TBF Friedrich Wenz, Jahresausbildung 2015 Bondek.;Konto;;1;-14.960,40;-14.960,40
30;1215;310;Kontrakt;60000;OMP 7587, Pro Instruments :Bærbar indend;Konto;;1;-3.738;-3.738
30;1215;327;Budget;10000;Udstyr, elekt. bolde, kompost-te, ler-kolloider;Konto;;1;85.000;85.000
30;1215;327;Kontrakt;20000;Sensefarm AB, sensefarmutrustning/kabler;Konto;;1;5.731,83;5.731,83
30;1215;328;Budget;10000;Tryk af mat, annoncer, faglige kurser til medarb.;Konto;;1;75.000;75.000
30;1215;328;Kontrakt;20000;Ökoregion Kaindorf, MAB, kongres/kursus 19-20/1;Konto;;1;1.266,08;1.266,08
30;1215;328;Kontrakt;30000;Landbrugsmedierne annonce arrangement;Konto;;1;5.465;5.465
30;1215;328;Kontrakt;40000;Friedrich Wenz, Jahresausbildung 2015 Bondek.;Konto;;1;14.960,40;14.960,40
30;1215;329;Budget;10000;Analyser, huminstoffer, cromatest, kinsey jordprøv;Konto;;1;45.000;45.000
30;1215;740;Budget;10000;Overhead;Konto;;1;192.791,32;192.791,32
30;1215;805;Budget;10000;Andel anden bevillingsgiver;Konto;;-1;1.000.158,41;-1.000.158,41
30;1215;810;Budget;10000;Promilleafgiftsfonden for landbrug;Konto;;1;1.000.000;1.000.000
30;1215;815;Budget;10000;Medfinansiering, egen;Konto;;1;158,41;158,41
30;1215;821;Kontrakt;10000;MAB, 4 stk DHL pakker 13/2-14/3;Konto;;1;334,8;334,8
30;1215;821;Kontrakt;20000;MAB, LOP, Sonderheft 'Boden verbessern -;Konto;;1;163,15;163,15
30;1215;822;Kontrakt;10000;MAB, fly/lejebil/parkering 18-21/1 Tyskland/Østrig;Konto;;1;4.739,03;4.739,03
30;1215;822;Kontrakt;20000;OMP  MAB, 31/3-1/4, 620 km, 1215;Konto;;1;2.294;2.294
30;1215;822;Kontrakt;30000;OMP  MAB, 20-30/4, 2024 km, 1215;Konto;;1;7.488,80;7.488,80
30;1215;822;Kontrakt;40000;MAB, 11/5, 755 km, 1215;Konto;;1;2.793,50;2.793,50
30;1215;822;Kontrakt;50000;MAB, 8-21/1, 670 km. Jordforb.;Konto;;1;2.479;2.479
30;1215;822;Kontrakt;60000;MAB, 7/3, 233 km, 1215 oplæg Vingsted;Konto;;1;862,1;862,1
30;1215;822;Kontrakt;70000;MAB, 5-6/2, 770 km, kursus 1215 Jordforb.m.kompos.;Konto;;1;2.849;2.849
30;1215;822;Kontrakt;80000;MAB, 12/2, 534 km, Foredrag1215 Jordforb.m.kompos;Konto;;1;1.975,80;1.975,80
30;1215;822;Kontrakt;90000;MAB, hotel/forplej Tyskland 15/7;Konto;;1;690;690
30;1215;822;Kontrakt;100000;CØ, 22/6-7/7, 88 km, 1215;Konto;;1;325,6;325,6
30;1215;822;Kontrakt;110000;MAB, 1-16/7, 576 km, 1215;Konto;;1;2.131,20;2.131,20
30;1215;822;Kontrakt;120000;MAB, 1-16/9, 756 km, 1215;Konto;;1;2.797,20;2.797,20
30;1215;822;Budget;130000;Bduget rejseudgifter;Konto;;1;40.000;40.000
30;1215;823;Kontrakt;10000;MAB, hotel/forplej Tyskland 1/4;Konto;;1;816,6;816,6
30;1215;823;Kontrakt;20000;MAB, hotel/forplej 6+12/2 udland;Konto;;1;1.394,64;1.394,64
30;1215;823;Kontrakt;30000;MAB, hotel/forplej 18-21/1 Tyskland/Østrig;Konto;;1;2.468,94;2.468,94
30;1215;823;Kontrakt;40000;MAB, Hotel, Morow 11/5;Konto;;1;571,42;571,42
30;1215;823;Kontrakt;50000;MAB, hotel/forplej udland 19-20/4;Konto;;1;1.197,54;1.197,54
30;1215;823;Kontrakt;60000;MAB, hotel/forplej Mecklenburg 3-4/9;Konto;;1;999,05;999,05
30;1215;823;Budget;70000;Budget overnatning/hotel;Konto;;1;1.500;1.500
30;1215;824;Kontrakt;10000;Hartmut Heilmann,8t á 120 euro  bankgebyr;Konto;;1;40;40
30;1215;824;Kontrakt;20000;Marias Køkken & Kursusværksted, forplej/lokaleleje;Konto;;1;8.570;8.570
30;1215;824;Kontrakt;30000;Friedrich Wenz, Jahresausbildung 2015  bankgebyr;Konto;;1;40;40
30;1215;824;Kontrakt;40000;Bayer, bog 'Hands-on Agronomy';Konto;;1;315,24;315,24
30;1215;824;Kontrakt;50000;Ökoregion Kaindorf, MAB, kongres/k  bankgebyr;Konto;;1;40;40
30;1215;824;Kontrakt;60000;Seminar om rodukrudt 30/4-15;Konto;;1;0;0
30;1215;824;Kontrakt;70000;Seminar om rodukrudt 30/4-15;Konto;;1;0;0
30;1215;824;Kontrakt;80000;Seminar om rodukrudt 30/4-15;Konto;;1;0;0
