Bogføringsdato;Finanskontonr.;Beskrivelse; Beløb ;Jobnr.;Medarb.;Løbenr.;Valuta;;
31-10-2016;18100;Invoice C-00001;-495.482,85;3278;XXX;10175;DKK;;
31-10-2016;18100;Invoice C-00001;-105.523,34;3276;XXX;10176;DKK;;
31-10-2016;18100;Invoice C-00001;-223.070,94;3277;XXX;10177;DKK;;
31-10-2016;18100;Invoice C-00001;-77.818,36;2340;XXX;10178;DKK;;
30-11-2016;18100;Invoice C-00002;-421.786,78;3278;XXX;11200;DKK;;
30-11-2016;18100;Invoice C-00002;-76.950,38;3276;XXX;11201;DKK;;
30-11-2016;18100;Invoice C-00002;-225.002,18;3277;XXX;11202;DKK;;
30-11-2016;18100;Invoice C-00002;-71.588,79;2340;XXX;11203;DKK;;
31-12-2016;18100;Invoice C-00003;-178.304,60;2340;XXX;12571;DKK;;
31-12-2016;18100;Invoice C-00003;-75.711,37;3276;XXX;12569;DKK;;
31-12-2016;18100;Invoice C-00003;-210.998,90;3277;XXX;12570;DKK;;
31-12-2016;18100;Invoice C-00003;-352.885,91;3278;XXX;12568;DKK;;
28-12-2016;20010;Epinion P/S respomondo;10.024,60;3263;XXX;12102;DKK;;
28-12-2016;20010;Epinion P/S respomondo;16.398,68;3275;XXX;12103;DKK;;
28-12-2016;20010;Epinion P/S respomondo;43.934,03;3299;XXX;12104;DKK;;
28-12-2016;20010;Epinion P/S respomondo;60.250,46;3300;XXX;12105;DKK;;
28-12-2016;20010;Epinion P/S respomondo;9.527,89;3350;XXX;12106;DKK;;
28-12-2016;20010;Epinion P/S respomondo;13.337,84;3358;XXX;12107;DKK;;
28-12-2016;20010;Epinion P/S respomondo;15.172,83;3365;XXX;12108;DKK;;
28-12-2016;20010;Epinion P/S AP Project;13.886,96;3408;XXX;12099;DKK;;
28-12-2016;20010;Epinion P/S AP Project;20.405,85;3416;XXX;12100;DKK;;
28-12-2016;20010;Epinion P/S AP Project;3.097,10;3427;XXX;12101;DKK;;
31-12-2016;20010;Epinion P/S recharged Audienceproject;1.007,30;3427;XXX;12559;DKK;;
01-12-2016;20020;Ruter AS train tickets;12.846,60;800;XXX;11734;DKK;;
01-12-2016;20020;Posten Norge Letters;1.007,39;3209;XXX;11313;DKK;;
01-12-2016;20020;Posten Norge Letters;1.007,67;3209;XXX;11328;DKK;;
01-12-2016;20020;Staples ink for project;6.102,80;3209;XXX;11336;DKK;;
01-12-2016;20020;Posten Norge Letters;2.572,86;3209;XXX;11708;DKK;;
01-12-2016;20020;Posten Norge Letters;7.611,55;3209;XXX;11711;DKK;;
01-12-2016;20020;Posten Norge Letters;2.573,14;3209;XXX;11714;DKK;;
01-12-2016;20020;Staples Norway AS paper for project;2.690;3209;XXX;11720;DKK;;
04-12-2016;20020;Posten Norge Letters;58,4;3209;XXX;11310;DKK;;
04-12-2016;20020;Posten Norge Letters;730;3209;XXX;11316;DKK;;
05-12-2016;20020;Posten Norge Letters;1.965,20;3209;XXX;11319;DKK;;
05-12-2016;20020;Posten Norge Letters;2.572,97;3209;XXX;11331;DKK;;
06-12-2016;20020;Ambita AS Norges Eiendommer Eksport;13.694;3209;XXX;12030;DKK;;
07-12-2016;20020;Posten Norge Letters;730;3209;XXX;11322;DKK;;
07-12-2016;20020;Posten Norge Letters;730;3209;XXX;11325;DKK;;
11-12-2016;20020;Posten Norge Letters;1.007,97;3209;XXX;11702;DKK;;
12-12-2016;20020;Posten Norge Letters;1.511,76;3209;XXX;11705;DKK;;
13-12-2016;20020;Posten Norge Letters;730;3209;XXX;11717;DKK;;
14-12-2016;20020;Posten Norge Letters;730;3209;XXX;11784;DKK;;
15-12-2016;20020;Posten Norge Letters;730;3209;XXX;11787;DKK;;
18-12-2016;20020;Posten Norge Letters;730;3209;XXX;12071;DKK;;
19-12-2016;20020;Posten Norge Letters;1.511,59;3209;XXX;11821;DKK;;
20-12-2016;20020;Posten Norge Letters;730;3209;XXX;11842;DKK;;
21-12-2016;20020;Posten Norge Letters;481,8;3209;XXX;12277;DKK;;
26-12-2016;20020;Posten Norge Letters;2.014,78;3209;XXX;12314;DKK;;
27-12-2016;20020;Posten Norge Letters;730;3209;XXX;12475;DKK;;
28-12-2016;20020;Posten Norge Letters;365;3209;XXX;12306;DKK;;
29-12-2016;20020;Posten Norge Letters;365;3209;XXX;12372;DKK;;
31-12-2016;20020;EVRY Norge  - DSF consulting hours etc;11.955;3209;XXX;12574;DKK;;
01-12-2016;20020;Dustin Norway AS airstrap;7.619;3215;XXX;11686;DKK;;
19-12-2016;20020;Sophio napkins;15,92;3215;XXX;12081;DKK;;
01-12-2016;20020;Avinor Divisjon flight cours;750;3257;XXX;11478;DKK;;
22-12-2016;20020;Postal Charges JRH;369,6;3257;XXX;11818;DKK;;
22-12-2016;20020;Avinor Divisjon store lufthavner;1.500;3257;XXX;12217;DKK;;
16-12-2016;20020;ViaScan scanning;9.802,40;3364;XXX;12050;DKK;;
01-12-2016;20020;Manpower rent employees;8.907;3383;XXX;11307;DKK;;
13-12-2016;20020;Norstat Norge AS recruitment;78.400;3401;XXX;12043;DKK;;
30-12-2016;20020;Interago datavarehuskompetanse;8.125;3402;XXX;12340;DKK;;
01-12-2016;20020;Interago AS Data Warehouse;50.000;3403;XXX;12025;DKK;;
21-12-2016;20020;Repost Dep. TNO to AVINO;-54.840,80;3421;XXX;11570;DKK;;
