Ordrenr.;t;Afsluttet ord.;Projektnr.;Navn;Kundeinfo;Prio.;Niveau;Varenummer;Navn;Startperiode;Afsluttet vare;Plan. antal;Rap. ant.;R;Status;Op.;Prod.grp.;Op. beskrivelse;Start;Afsluttet;Plan. antal;Rap. ant.;R;Plan. tid;Rap.tid;Rapp.nr.;oprettet
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
241941;09-12-2016;09-12-2016;;;Vikan A/S;9;0;241941;Indlæg i indsatse;09-12-2016;09-12-2016;1;; ;1;10;KF-01;Opstart, evt.konstruktion, møder mm;09-12-2016;09-12-2016;1;0; ;0;0;740;den første dag, ordren optræder
241941;09-12-2016;09-12-2016;;;Vikan A/S;9;0;241941;Indlæg i indsatse;09-12-2016;09-12-2016;1;; ;1;20;KF-02;Evt.opspændingdorne, save m.m;09-12-2016;09-12-2016;1;0; ;0;0;738;
241941;09-12-2016;09-12-2016;;;Vikan A/S;9;0;241941;Indlæg i indsatse;09-12-2016;09-12-2016;1;; ;1;30;KF-03;Programering (alt programmering);09-12-2016;09-12-2016;1;0; ;0;0;736;
241941;09-12-2016;09-12-2016;;;Vikan A/S;9;0;241941;Indlæg i indsatse;09-12-2016;09-12-2016;1;; ;1;40;KF-04;Opstilling og indkøring CNC maskine;09-12-2016;09-12-2016;1;0; ;0;0;734;
241941;09-12-2016;09-12-2016;;;Vikan A/S;9;0;241941;Indlæg i indsatse;09-12-2016;09-12-2016;1;; ;1;50;KF-05;Produktion - bemandet;09-12-2016;09-12-2016;1;0; ;0;0;732;
241941;09-12-2016;09-12-2016;;;Vikan A/S;9;0;241941;Indlæg i indsatse;09-12-2016;09-12-2016;1;; ;1;60;KF-06;Produktion - ubemandet CNC maskine;09-12-2016;09-12-2016;1;0; ;0;0;730;
241941;09-12-2016;09-12-2016;;;Vikan A/S;9;0;241941;Indlæg i indsatse;09-12-2016;09-12-2016;1;; ;1;70;KF-07;Opmålinger, slutkontrol, evt måling;09-12-2016;09-12-2016;1;0; ;0;0;728;
241941;09-12-2016;09-12-2016;;;Vikan A/S;9;0;241941;Indlæg i indsatse;09-12-2016;09-12-2016;1;; ;1;80;KF-08;Overarbejde (alt overtid);09-12-2016;09-12-2016;1;0; ;0;0;726;
241941;09-12-2016;09-12-2016;;;Vikan A/S;9;0;241941;Indlæg i indsatse;09-12-2016;09-12-2016;1;; ;1;90;KF-Ø;Interne fejl og efterjustering U/B;09-12-2016;09-12-2016;1;0; ;0;0;724;
242562;29-04-2016;29-04-2016;CARLO;123;Kunststof-kemi A/S;9;0;242562;Halvskål f. exstruder;29-04-2016;29-04-2016;4;; ;1;10;VFS-01;Projekt opstart og konstruktion;29-04-2016;29-04-2016;4;0; ;0;0;642;
242562;29-04-2016;29-04-2016;CARLO;123;Kunststof-kemi A/S;9;0;242562;Halvskål f. exstruder;29-04-2016;29-04-2016;4;; ;1;20;VFS-02;Programmer, fremstille i værksted ;29-04-2016;29-04-2016;4;0; ;0;0;640;
