Kontakt;Kontakt id;CVR;Tlf;Faktura nr.;Fakturadato;F/L (Fak. systemdato:0, Labeldato:1);Beløb ekskl. moms DKK;Moms;Type (0:Faktura, 1:Kreditnota);Konto;Modkonto;Forfaldsdato;Modtaget/Betalt;EAN;Beløb inkl. moms DKK;SKI;Kørsel ekskl. moms;Mat. forbrug / Udlæg ekskl. moms;Aktiviteter ekskl. moms;Intern;Valuta;Beløb ekskl. moms i faktura valuta;Jobnr;Aftale nr;Moms i faktura valuta;

A-Better-Traffic.Com ApS;70204838;0;70204838;2110252;15-02-2012;0;405;101,25;0;70204838;1113;23-02-2012;0;;506,25;0;0;0;405;0;DKK;405;321;;101,25;
A-Better-Traffic.Com ApS;70204838;0;70204838;2110134;15-03-2011;1;810;202,5;0;70204838;1113;23-03-2011;0;;1012,5;0;0;0;810;0;DKK;810;321;;202,5;
A-Better-Traffic.Com ApS;70204838;0;70204838;2104;16-12-2010;0;300;0;0;70204838;1113;24-12-2010;0;;300;0;0;0;300;0;DKK;300;330;;0;
A-Better-Traffic.Com ApS;70204838;0;70204838;2091;02-11-2010;1;672;168;0;70204838;1113;10-11-2010;0;;840;0;0;0;672;0;DKK;672;292;;168;
A-Better-Traffic.Com ApS;70204838;0;70204838;2088;02-11-2010;0;3645;911,25;0;70204838;1113;10-11-2010;0;;4556,25;0;0;0;3645;0;DKK;3645;330;;911,25;
A-Better-Traffic.Com ApS;70204838;0;70204838;1948;15-01-2010;0;337,5;84,38;0;70204838;1113;24-01-2010;0;;421,88;0;0;0;337,5;0;DKK;337,5;321;;84,38;
A-Better-Traffic.Com ApS;70204838;0;70204838;1865;01-09-2009;0;240;60;0;70204838;1113;09-09-2009;0;;300;0;0;0;240;0;DKK;240;321;;60;
A-Better-Traffic.Com ApS;70204838;0;70204838;1836;26-06-2009;0;0;0;0;70204838;0;17-07-2009;0;;0;0;0;0;0;0;DKK;0;292;;0;
A-Better-Traffic.Com ApS;70204838;0;70204838;1821;01-06-2009;0;1200;300;0;70204838;1113;09-06-2009;0;;1500;0;0;0;1200;0;DKK;1200;330;;300;
A-Better-Traffic.Com ApS;70204838;0;70204838;1823;01-06-2009;0;416,1;104,03;0;70204838;1113;09-06-2009;0;;520,13;0;0;0;416,1;0;DKK;416,1;292;;104,03;
A-Better-Traffic.Com ApS;70204838;0;70204838;1822;01-06-2009;0;1075;268,75;0;70204838;1113;09-06-2009;0;;1343,75;0;0;0;1075;0;DKK;1075;292;;268,75;
A-Better-Traffic.Com ApS;70204838;0;70204838;1738;19-11-2008;0;600;150;0;70204838;1113;27-11-2008;0;;750;0;0;0;600;0;DKK;600;321;;150;
A-Better-Traffic.Com ApS;70204838;0;70204838;1734;19-11-2008;0;600;150;0;70204838;1113;27-11-2008;0;;750;0;0;0;600;0;DKK;600;330;;150;
A-Better-Traffic.Com ApS;70204838;0;70204838;1725;18-11-2008;0;600;150;0;70204838;1113;26-11-2008;0;;750;0;0;0;600;0;DKK;600;292;;150;
