NAME;NAME_SHT;NAME afd.;NAV_NAME afd. Kode;Jobnavn;Jobnr.;Status;NAME_SHT;NAV_NAME;
Tilretninger (Kode);sd;Leverandør;;Jobnavn..;698;1;;;
Pre;;CRM-relation;;Jobnavn..;706;1;;;
Produktion;;Kunde;;TO: support og opsætning;343;1;;;
Post;;Aviation;;Jobnavn..;644;1;;;
Support;;asas;;WP Website;666;1;;;
Produktudvikling (Ikke fakturerbar);;;;CST - TimeOut Opsætning & Support;456;1;;;
Administration, Fakturering etc.;;;;AAA;684;1;;;
Markedsføring og PR;;;;mm test;691;1;;;
Strategi & ledelse;;;;test;696;1;;;
Projektledelse;;;;TO: support og opsætning;686;1;;;
a;;;;TO:support+div;287;1;;;
;;;;TimeOut Opsætning & Support;527;1;;;
;;;;TO - Opsætning og support;674;1;;;
;;;;TimeOut Opsætning & Support;451;1;;;
;;;;TimeOut Opsætning og Support;448;1;;;
;;;;TO - Opsætning og support;673;1;;;
;;;;GPS LOCATION Next Gen;663;1;;;
;;;;TO: Support & opsætning;634;1;;;
;;;;TimeOut Opsætning & Support;449;1;;;
;;;;TimeOut opsætning og Support;360;1;;;
;;;;Workshop, Support & Opsætning;529;1;;;
;;;;TimeOut Opsætning og Support;595;1;;;
;;;;TO - Opsætning og support;675;1;;;
;;;;TimeOut Opsætning & Support;592;1;;;
;;;;Micmatic - TimeOut Opsætning og Support;692;1;;;
;;;;Webshop til diddl website.;422;1;;;
;;;;TimeOut Opsætning og Support;560;1;;;
;;;;TimeOut Opsætning & Support;602;1;;;
;;;;Jobnavn..;702;1;;;
;;;;Jobnavn..;705;1;;;
;;;;TimeOut support & opsætning;688;1;;;
;;;;TO. Support og Opsætning;687;1;;;
;;;;TimeOut  - Speciel;635;1;;;
;;;;Design 2014;618;1;;;
;;;;Interne Job;179;1;;;
;;;;Jobnavn..;699;1;;;
;;;;Jobnavn..;700;1;;;
;;;;Jobnavn..;703;1;;;
;;;;Jobnavn..;701;1;;;
;;;;OutZourCE strategiplan 2008 - 2010;392;1;;;
;;;;Rengøring;689;1;;;
;;;;Simon Says;685;1;;;
;;;;TimeTag;620;1;;;
;;;;TimeOut Opsætning og Support;582;1;;;
;;;;TimeOut Implementering;656;1;;;
;;;;TimeOut;671;1;;;
;;;;TrioBike Shop rettelser + oprydning 2014;639;1;;;
;;;;TO - Opsætning og support;697;1;;;
;;;;Budget og finansiel rapportering;680;1;;;
;;;;Jobnavn..;704;1;;;
;;;;Simuleringsopgave;690;1;;;
;;;;TimeOut Opstart, Support & lbn. opgaver;559;1;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;

