Kontakt;Kontakt id;Jobnavn;Jobnr.;Status;Startdato;Slutdato;Prioitet;Fastpris:1/Lbn Timer:0;Forkalk. Timer;Budget. Bruttooms.;Budget Salgsomk. (indkøb);Budget Intern kost.;Budget DB beløb;Budget DB %;Realiseret Timer;~Real. Timepris;Real. Internkost. pr. time;Real. Bruttoomsætning;Real. Nettoomsætning;Real. DB beløb;Real. DB %;WIP DB beløb;WIP DB %;Faktureret;Faktisk Salgsomk. (indkøb);Faktisk Internkost.;Faktisk DB beløb;Faktisk DB %;Timepris (faktisk);Stade (WIP) %;WIP pr. dato (aktuel);WIP angivet dato;WIP Omsætning; Bal. Faktureret-Oms. WIP;Kontaktpers;Jobansvarlig 1;Jobans1. %;Init 1;Jobejer 2;Jobans2. %;Init 2;Medansv. 3;Jobans3. %;Init 3;Medansv. 4;Jobans4. %;Init 4;Medansv. 5;Jobans5. %;Init 5;Salgsansv. 1;Salgsansv. 1 %;Salgsansv. 1 Init;Salgsansv. 2;Salgsansv. 2 %;Salgsansv. 2 Init;Salgsansv. 3;Salgsansv. 3 %;Salgsansv. 3 Init;Salgsansv. 4;Salgsansv. 4 %;Salgsansv. 4 Init;Salgsansv. 5;Salgsansv. 5 %;Salgsansv. 5 Init;Aftale;Rekvnr.;Pre-konditioner opfyldt;Forretningsomr.;Projektgrupper (job);Virksomhedsandel;Beskrivelse;Kommentar;Fase;Aktiviteter;Aktivitet startdato;Aktivitet slutdato;
"WWF Verdensnaturfonden";"4535363635";"Budget og finansiel rapportering";"680";"Aktiv";"16-12-2014";"30-04-2015";"100";"0";"400,00";"100.000,00";"0,00";"100.000,00";"0,00";"0";"494,13";"608,53";"205,93";"300.692,55";"300.692,55";"198.938,10";"66";"-101.754,45";"0";"100.000,00";"0,00";"101.754,45";"-1.754,45";"-2";"202,38";"0";"08-12-2015";"24 apr. 2015";"0,00";"100.000,00";"Michael Skands";"Jesper Dohn Aaberg(24)";"100";"JDA";"Søren Karlsen(1)";"0";"SK";"";"0";"";"";"0";"";"";"0";"";"";"0";"";"";"0";"";"";"0";"";"";"0";"";"";"0";"";"0";"";"0";"Post";"Alle-gruppen (alle medarbejder
";"0";"";"";
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"KM";"16-12-2014";"30-04-2015"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Planlægning";"16-12-2014";"16-01-2015"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"På landevejen";"16-12-2014";"30-04-2015"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Design";"16-12-2014";"16-01-2015"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Udvikling";"16-12-2014";"16-01-2015"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Test";"16-12-2014";"16-01-2015"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Dokumentation";"16-12-2014";"16-01-2015"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Præsentationer";"16-12-2014";"16-01-2015"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Rettelser";"16-12-2014";"16-01-2015"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Drift";"16-12-2014";"16-01-2015"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Projektledelse";"16-12-2014";"16-01-2015"

