medarb. initialer;jobnr;aktivitetsnavn;timer;dato (dd-mm-yyyy);kommentar
15-02-2012;208;2,5;;Timer;
17-02-2012;208;0,5;;Timer;
15-02-2012;208;1;;Timer;
15-02-2012;208;2,5;;Timer;
16-02-2012;208;1;;Timer;
16-02-2012;208;1;;Timer;
15-02-2012;208;2;;Timer;
16-02-2012;208;2;;Timer;
16-02-2012;208;4;;Timer;
16-02-2012;208;0,5;;Timer;
16-02-2012;208;0,25;;Timer;
16-02-2012;208;3,25;;Timer;
16-02-2012;208;0,5;;Timer;
16-02-2012;208;1,3;;Timer;
15-02-2012;208;0,5;;Timer;
15-02-2012;208;0,5;;Timer;
15-02-2012;208;2;;Timer;
21-02-2012;208;0,5;;Timer;
15-02-2012;208;4,5;;Timer;
06-02-2012;208;1,5;;Timer;
09-02-2012;208;2;;Timer;
07-02-2012;208;1;;Timer;
06-02-2012;208;1;;Timer;
20-02-2012;208;7,3;;Timer;
07-02-2012;208;1;;Timer;
07-02-2012;208;1;;Timer;
08-02-2012;208;3;;Timer;
13-02-2012;208;4;;Timer;
09-02-2012;208;1,5;;Timer;
09-02-2012;208;1;;Timer;
14-02-2012;208;3;;Timer;
10-02-2012;208;2;;Timer;
09-02-2012;208;1,5;;Timer;
14-02-2012;208;3;;Timer;
14-02-2012;208;1,5;;Timer;
13-02-2012;208;1;;Timer;
14-02-2012;208;1;;Timer;
08-02-2012;208;2;;Timer;
20-02-2012;208;1,5;;Timer;
06-02-2012;208;2,5;"coop møde ML
Coop oplæg";Timer;
07-02-2012;208;3,5;forberedelse af foredrag og undersøgelser af nyt koncept;Timer;
07-02-2012;208;1;;Timer;
09-02-2012;208;1;;Timer;
01-02-2012;208;7,3;;Timer;
02-02-2012;208;10;;Timer;
03-02-2012;208;9,5;;Timer;
01-02-2012;208;5,3;;Timer;
01-02-2012;208;2;;Timer;
01-02-2012;208;1,3;;Timer;
01-02-2012;208;1;;Timer;
01-02-2012;208;3;;Timer;
01-02-2012;208;1;;Timer;
01-02-2012;208;6;;Timer;
03-02-2012;208;3;Møde med Codan og forberedelse af presseplan;Timer;
01-02-2012;208;1;;Timer;
01-02-2012;208;1;;Timer;
01-02-2012;208;1;;Timer;
01-02-2012;208;2;;Timer;
01-02-2012;208;2,3;;Timer;
01-02-2012;208;0,5;;Timer;
01-02-2012;208;2;;Timer;
01-02-2012;208;5;Skabelon rettelser for det meste;Timer;
01-02-2012;208;1;;Timer;
01-02-2012;208;3;;Timer;
01-02-2012;208;7,5;Stenrev;Timer;
01-02-2012;208;2;;Timer;
01-02-2012;208;1;;Timer;
01-02-2012;208;2;;Timer;
01-02-2012;208;3;;Timer;
02-02-2012;208;1;;Timer;
02-02-2012;208;1;;Timer;
01-02-2012;208;1;;Timer;
02-02-2012;208;1;;Timer;
02-02-2012;208;7,5;Stenrev plus EU eksternt fiskeri ;Timer;
04-02-2012;208;5;;Timer;
03-02-2012;208;3,5;;Timer;
02-02-2012;208;2,3;;Timer;
02-02-2012;208;1;;Timer;
02-02-2012;208;4;;Timer;
02-02-2012;208;1;;Timer;
02-02-2012;208;1;;Timer;
02-02-2012;208;1;;Timer;
02-02-2012;208;5,3;;Timer;
02-02-2012;208;3;Rettelser af div brevtekster;Timer;
02-02-2012;208;1,25;;Timer;
02-02-2012;208;1,25;;Timer;
02-02-2012;208;2;;Timer;
02-02-2012;208;1;;Timer;
02-02-2012;208;1;;Timer;
02-02-2012;208;1;;Timer;
02-02-2012;208;1,3;;Timer;
02-02-2012;208;2;;Timer;
02-02-2012;208;3;;Timer;
02-02-2012;208;1;;Timer;
02-02-2012;208;2;;Timer;
16-02-2012;208;3;;Timer;
15-02-2012;208;2;;Timer;
01-02-2012;208;3;;Timer;
02-02-2012;208;3;;Timer;
03-02-2012;208;3;;Timer;
07-02-2012;208;2;;Timer;
06-02-2012;208;2;;Timer;
17-02-2012;208;3;;Timer;
02-02-2012;208;2;Referart fra bestyrelsesmødet ;Timer;
01-02-2012;208;2;Bestyrelsesmøde;Timer;
02-02-2012;208;5;MUS med Karoline, KOM afdelingsseminar, KOM kursus for MFA, ulandsstrategi, EU barometer tømmer, booking vedr. næste LG udviklingsmøde + diverse;Timer;
02-02-2012;208;1;Disposition til jubilæumsnummer;Timer;
02-02-2012;208;6;;Timer;
01-02-2012;208;3;;Timer;
01-02-2012;208;3;;Timer;
01-02-2012;208;1,5;;Timer;
01-02-2012;208;0,15;interview - Skoleelever;Timer;
02-02-2012;208;2;Skoleelever;Timer;
01-02-2012;208;2,5;Danida foredrag;Timer;
03-02-2012;208;2;Planlægning og overlevering;Timer;
02-02-2012;208;2;Overleveringsdok;Timer;
02-02-2012;208;1,5;MUS-samtale;Timer;
01-02-2012;208;7,3;LN dispo og research til jubliæumsnummer;Timer;
02-02-2012;208;1;Priser til fiskeguide;Timer;
02-02-2012;208;1,3;;Timer;
02-02-2012;208;0,5;;Timer;
02-02-2012;208;3;;Timer;
02-02-2012;208;1;;Timer;
02-02-2012;208;3;;Timer;
02-02-2012;208;3;Rettelser til grafiker plus planlægningsmøde og disposition rettelser;Timer;
02-02-2012;208;1;;Timer;
01-02-2012;208;3;;Timer;
01-02-2012;208;5,3;;Timer;
03-02-2012;208;4;;Timer;
03-02-2012;208;2,3;;Timer;
03-02-2012;208;1;;Timer;
02-02-2012;208;4;;Timer;
03-02-2012;208;3;;Timer;
01-02-2012;208;1;;Timer;
02-02-2012;208;2;;Timer;
03-02-2012;208;2;;Timer;
01-02-2012;208;4;;Timer;
02-02-2012;208;2;;Timer;
03-02-2012;208;2;;Timer;
01-02-2012;208;1;;Timer;
03-02-2012;208;1;;Timer;
01-02-2012;208;7;;Timer;
01-02-2012;208;2;;Timer;
01-02-2012;208;1;;Timer;
01-02-2012;208;1;;Timer;
02-02-2012;208;1;;Timer;
02-02-2012;208;2;;Timer;
02-02-2012;208;4;;Timer;
01-02-2012;208;0,5;;Timer;
02-02-2012;208;0,5;;Timer;
03-02-2012;208;0,5;;Timer;
01-02-2012;208;0,5;;Timer;
02-02-2012;208;0,5;;Timer;
03-02-2012;208;0,5;;Timer;
02-02-2012;208;1;;Timer;
01-02-2012;208;0,5;;Timer;
02-02-2012;208;0,5;;Timer;
03-02-2012;208;0,5;;Timer;
02-02-2012;208;1;;Timer;
02-02-2012;208;1;;Timer;
03-02-2012;208;1;;Timer;
01-02-2012;208;1;;Timer;
02-02-2012;208;1;;Timer;
03-02-2012;208;1;;Timer;
03-02-2012;208;3;;Timer;
01-02-2012;208;1;;Timer;
02-02-2012;208;1;;Timer;
01-02-2012;208;1;;Timer;
02-02-2012;208;1;;Timer;
03-02-2012;208;1;;Timer;
01-02-2012;208;0,5;;Timer;
02-02-2012;208;0,5;;Timer;
03-02-2012;208;0,5;;Timer;
05-02-2012;208;3;;Timer;
01-02-2012;208;1;;Timer;
04-02-2012;208;3;;Timer;
05-02-2012;208;3;;Timer;
06-02-2012;208;2;;Timer;
08-02-2012;208;3;;Timer;
06-02-2012;208;3;;Timer;
07-02-2012;208;3;;Timer;
06-02-2012;208;1;;Timer;
08-02-2012;208;2;;Timer;
03-02-2012;208;4,2;;Timer;
03-02-2012;208;0,2;skoletjeneste;Timer;
03-02-2012;208;5,3;;Timer;
02-02-2012;208;1;;Timer;
01-02-2012;208;7;;Timer;
02-02-2012;208;7;;Timer;
03-02-2012;208;3;;Timer;
03-02-2012;208;4;;Timer;
01-02-2012;208;7,5;;Timer;
02-02-2012;208;7,5;;Timer;
03-02-2012;208;7,5;;Timer;
03-02-2012;208;7;;Timer;
03-02-2012;208;3;;Timer;
01-02-2012;208;7,3;;Timer;
02-02-2012;208;3;;Timer;
03-02-2012;208;2;;Timer;
02-02-2012;208;2;;Timer;
02-02-2012;208;2,3;;Timer;
03-02-2012;208;1;;Timer;
03-02-2012;208;2;;Timer;
03-02-2012;208;1;;Timer;
03-02-2012;208;1;;Timer;
03-02-2012;208;0,3;;Timer;
03-02-2012;208;1;Referat fra bestyrelsesmødet;Timer;
03-02-2012;208;1,5;Disposition til jubilæumsnummer;Timer;
02-02-2012;208;2;Arktisk konference planlægning;Timer;
03-02-2012;208;3;Arktisk konference planlægning - invitationer, annoncer og hjemmeside mv.+ CAP indlæg til aviserne;Timer;
01-02-2012;208;5;Tommy - møde om radioudsendelser + diverse ledelse;Timer;
01-02-2012;208;1;Møde om Earth Hour cykelrute;Timer;
01-02-2012;208;1;Arktis konference;Timer;
03-02-2012;208;1;;Timer;
02-02-2012;208;1;;Timer;
02-02-2012;208;1;;Timer;
01-02-2012;208;1;;Timer;
01-02-2012;208;1;;Timer;
02-02-2012;208;2;;Timer;
01-02-2012;208;2;;Timer;
02-02-2012;208;1;;Timer;
02-02-2012;208;1;;Timer;
01-02-2012;208;2;;Timer;
01-02-2012;208;4,75;;Timer;
02-02-2012;208;4;;Timer;
03-02-2012;208;3;;Timer;
01-02-2012;208;2,25;;Timer;
02-02-2012;208;1,75;;Timer;
03-02-2012;208;3;;Timer;
02-02-2012;208;1;;Timer;
01-02-2012;208;0,5;;Timer;
02-02-2012;208;1;;Timer;
03-02-2012;208;1;;Timer;
03-02-2012;208;5,3;;Timer;
03-02-2012;208;2;;Timer;
06-02-2012;208;3;;Timer;
06-02-2012;208;4,3;;Timer;
06-02-2012;208;1;;Timer;
06-02-2012;208;0,15;;Timer;
06-02-2012;208;0,15;;Timer;
06-02-2012;208;3;;Timer;
06-02-2012;208;2;;Timer;
06-02-2012;208;3;;Timer;
06-02-2012;208;4;;Timer;
06-02-2012;208;1;;Timer;
06-02-2012;208;4;;Timer;
06-02-2012;208;5;;Timer;
06-02-2012;208;3;;Timer;
06-02-2012;208;3;;Timer;
06-02-2012;208;2;;Timer;
06-02-2012;208;3;;Timer;
06-02-2012;208;3;;Timer;
07-02-2012;208;4;;Timer;
03-02-2012;208;1,3;;Timer;
03-02-2012;208;3;;Timer;
06-02-2012;208;1;;Timer;
07-02-2012;208;1,3;;Timer;
06-02-2012;208;5;;Timer;
07-02-2012;208;6;MZ001702;Timer;
06-02-2012;208;3;;Timer;
07-02-2012;208;3;;Timer;
08-02-2012;208;3;;Timer;
09-02-2012;208;3;;Timer;
10-02-2012;208;3;;Timer;
02-02-2012;208;4;;Timer;
01-02-2012;208;4;;Timer;
10-02-2012;208;2;;Timer;
09-02-2012;208;2;;Timer;
08-02-2012;208;2;;Timer;
06-02-2012;208;2;;Timer;
07-02-2012;208;2;;Timer;
06-02-2012;208;2;;Timer;
06-02-2012;208;1;;Timer;
07-02-2012;208;1;;Timer;
08-02-2012;208;1;;Timer;
09-02-2012;208;1;;Timer;
10-02-2012;208;1;;Timer;
06-02-2012;208;3;;Timer;
06-02-2012;208;1;;Timer;
07-02-2012;208;1;;Timer;
08-02-2012;208;1;;Timer;
09-02-2012;208;1;;Timer;
10-02-2012;208;1;;Timer;
06-02-2012;208;5,3;1. korrektur fra grafiker plus overlevering til Anne;Timer;
06-02-2012;208;1;Afdelingsmøde;Timer;
